,energy[kcal],protein[g],fat[g],carbs[g]
ごはん,252,3.8,0.5,55.7
麦ごはん,248,4.3,0.7,54.0
きのこたっぷり混ぜご飯,307,6.6,2.4,61.4
五目炊き込みご飯,311,11.4,2.7,57.9
赤飯,289,6.1,1.1,63.8
いなり寿司,311,7.4,8.3,48.8
巻き寿司,402,10.2,4.3,78.2
ちらし寿司,457,13.7,4.7,86.3
親子丼,665,28.5,8.9,110.7
カツ丼,868,30.5,31.1,107.3
牛丼,873,15.7,35.8,112.8
天丼,731,38.6,14.1,104.9
中華丼,743,31.1,20.3,101.8
カレーライス,882,20.1,31.1,124.2
オムライス,596,20.2,16.4,86.8
炒飯,537,14.7,15.4,80.9
きな粉もち,158,4.6,2.0,29.8
磯辺焼き,122,2.7,0.4,25.9
卵野菜サンドイッチ,260,7.2,16.7,20.0
卵サンドイッチ,304,9.8,20.7,18.7
チーズ野菜サンドイッチ,260,11.8,14.5,20.3
ツナサンドイッチ,338,10.9,24.2,18.9
トースト,158,5.6,2.6,28.0
バタートースト,203,5.6,7.5,28.0
いちごジャムトースト,212,5.7,2.7,41.3
ピザトースト,299,15.3,12.0,32.0
フレンチトースト,305,11.0,12.7,35.9
チーズトースト,243,11.3,9.1,28.4
クリームパン,183,6.2,6.5,24.8
あんぱん,280,7.9,5.3,50.2
ジャムパン,297,6.6,5.8,54.5
チョココロネ,246,4.0,9.5,36.1
かけうどん,325,8.9,0.9,64.1
わかめうどん,327,9.2,1.0,64.7
きつねうどん,446,14.6,10.9,66.1
肉うどん,499,17.4,9.9,74.9
やまかけうどん,379,11.1,1.2,75.4
月見うどん,401,15.0,6.1,64.2
えび天うどん,451,20.5,8.1,66.6
ごぼう天うどん,430,10.2,8.2,72.5
かけそば,348,12.5,2.0,66.4
ざるそば,304,11.8,2.0,60.1
わかめそば,350,12.8,2.1,67.0
肉そば,522,21.0,11.0,77.3
えび天そば,473,24.1,9.2,68.9
ソース焼きそば,478,15.8,13.5,70.1
冷やし中華,483,19.4,10.7,73.1
ミートソーススパゲティ,632,25.9,20.7,79.9
カルボナーラスパゲティ,760,19.3,45.9,61.9
マカロニグラタン,516,19.9,25.1,50.2
豚肉のしょうが焼き,280,17.9,21.3,1.2
鶏もも肉の照り焼き,225,13.7,15.2,4.8
鶏むね肉の味噌ダレ焼き,154,14.4,8.5,2.9
鶏の甘酢あんかけ,210,10.7,12.5,12.5
鶏のきのこあんかけ,179,13.2,9.1,9.3
鶏もも肉のマヨ焼き,197,10.0,15.9,0.9
鶏肉のマーマレード焼き,141,13.7,6.7,5.1
ハンバーグ,308,17.6,19.4,13.5
蓮根ハンバーグ,173,13.7,8.0,10.4
豆腐ハンバーグ＿ジャポネソース,244,14.4,12.0,17.3
焼き餃子,337,14.1,18.2,26.3
つくね,188,11.3,8.9,10.0
肉野菜炒め,261,19.8,15.4,8.8
とんカツ,396,19.2,29.2,10.2
ヒレカツ,233,19.7,12.3,8.8
チキンカツ,301,14.4,22.0,8.7
鶏もも肉のから揚げ,317,16.7,24.0,5.2
ポテトコロッケ,412,11.9,27.9,26.3
筑前煮,234,10.9,9.2,24.8
肉じゃが,309,10.7,13.2,34.0
ロールキャベツ,195,13.6,9.9,12.5
すきやき,537,24.6,38.1,19.3
ビーフシチュー,446,13.4,29.7,26.8
クリームシチュー,302,12.4,17.4,21.7
冷しゃぶ,204,13.3,13.9,4.5
あじの塩焼き,85,14.5,2.5,0.1
サンマの塩焼き,279,16.7,22.1,0.1
ブリの照り焼き,286,19.7,19.8,4.2
鮭のムニエル,174,20.5,7.8,3.5
鰆のねぎ味噌焼き,198,14.7,10.0,9.1
焼魚の野菜あんかけ,162,12.6,8.4,8.3
魚のホイル焼き,143,17.1,5.4,6.8
サバのチリ味炒め,235,16.0,12.6,11.1
エビのチリ味炒め,205,22.4,6.6,9.0
鯵フライ,259,17.9,14.2,12.7
南蛮漬,173,15.0,9.5,5.5
揚げ鮭のマリネ,174,14.0,8.5,8.8
さつま揚げ,242,13.1,17.9,5.3
イカの天ぷら,262,19.1,12.0,17.3
エビの天ぷら,303,24.8,13.8,17.1
いかリング,173,14.7,9.0,7.0
エビフライ,182,15.3,8.7,9.1
カキフライ,157,6.7,9.9,9.3
鯛の煮付け,162,15.5,4.1,10.1
カレイの煮つけ,137,17.5,1.1,10.4
サバの味噌煮,196,17.3,9.9,5.9
秋刀魚のみぞれ煮,402,19.6,28.2,12.7
ブリ大根,269,18.8,14.2,12.5
イカと里芋煮,161,14.7,0.9,20.8
マグロの刺身,91,17.7,1.1,1.5
マグロの刺身,199,11.6,15.3,1.5
タイの刺身,163,17.7,8.8,1.3
かんぱちの刺身,113,17.3,3.6,1.5
ブリの刺身,215,17.6,14.3,1.6
サーモンの刺身,190,17.2,12.0,1.4
イカの刺身,79,14.9,1.2,1.4
タコの刺身,87,17.7,0.8,1.3
甘えびの刺身,17,3.2,0.1,0.6
たまごの袋煮,213,12.7,15.1,4.8
茶碗蒸し,103,12.4,4.4,2.9
ゆで卵,76,6.2,5.2,0.2
目玉焼き,94,6.2,7.2,0.2
ハムエッグ,152,9.5,11.9,0.4
厚焼き卵,125,6.3,9.2,3.3
オムレツ,126,6.5,10.3,0.5
湯豆腐,103,7.0,3.1,10.6
枝豆,81,7.0,3.7,5.3
冷奴,66,6.2,3.1,3.0
揚げ出し豆腐,277,8.1,19.5,14.9
麻婆豆腐,243,15.3,16.5,6.6
高野豆腐の含め煮,93,8.1,5.3,3.0
厚揚げの煮物,87,5.8,5.7,2.4
おからの炒め煮,114,3.5,5.4,12.7
ほうれん草のお浸し,20,2.6,0.3,2.6
小松菜のお浸し,16,2.1,0.2,2.1
なすの中華お浸し,21,1.0,0.1,4.6
ほうれん草のごま和え,37,2.3,1.4,4.9
菜花のからし和え,29,3.5,0.3,4.9
わかめとレタスのポン酢和え,21,1.0,0.9,3.2
夏野菜のなめたけ和え,15,0.9,0.1,4.0
トマトとオクラのごまおかか和え,35,1.9,0.9,5.8
豆苗ともやしのごま酢和え,40,2.7,1.0,6.0
小松菜とこんにゃくのごま和え,22,1.0,0.6,4.0
チンゲン菜のさっぱりネギだれ,22,0.4,0.1,5.0
大根と長いもの梅びしお和え,23,0.6,0.1,5.0
小松菜の昆布和え,21,1.9,0.2,5.1
きのこのおろし和え,36,2.4,1.8,6.3
にんじんとえのきのナムル,52,0.8,3.6,5.0
きゅうりとワカメの酢の物,13,0.9,0.2,2.9
きゅうりとみょうがの甘酢和え,18,0.7,0.1,4.1
紅白なます,26,0.4,0.1,6.0
レタスサラダ,15,0.7,0.1,3.4
コーンサラダ,38,1.4,0.2,8.5
ツナサラダ,94,6.0,6.6,3.2
ポテトサラダ,207,4.4,12.2,19.7
ごぼうサラダ,103,1.7,6.6,9.9
大根サラダ,14,0.5,0.1,3.0
春キャベツのサラダ,40,1.8,1.0,6.7
ミモザサラダ,119,3.3,8.7,7.6
かぼちゃのヨーグルトサラダ,103,1.9,5.5,12.3
かぼちゃサラダ,74,1.3,3.4,10.3
れんこんのマヨサラダ,91,2.1,6.2,7.2
白菜ツナサラダ,64,1.5,5.6,1.9
大根と水菜のサラダ,25,0.8,0.6,4.3
白菜とりんごのサラダ,42,0.5,2.1,5.7
れんこん挟み焼き＿きのこ餡かけ,213,12.8,11.3,14.5
しいたけの網焼き,9,1.4,0.2,2.3
焼き茄子,26,2.1,0.1,4.8
野菜の甘酢炒め,75,1.0,3.1,10.6
にんじんのカレーきんぴら,57,0.5,4.4,4.2
大根きんぴら,71,1.0,4.1,7.9
野菜きんぴら,100,2.0,4.2,13.4
大根の煮物,53,1.8,0.2,11.9
かぼちゃの煮物,124,2.5,0.3,26.7
切干大根の煮物,116,2.4,5.7,13.1
若竹煮,50,3.5,0.3,10.5
小松菜と桜えびの炒め煮,37,2.5,1.7,2.8
炊き合わせ,92,3.7,0.6,17.6
なすのおろし煮,60,1.1,3.1,6.8
ごろごろ野菜のポトフ＿カレー風味,222,12.9,13.3,12.3
こんにゃく土佐煮,32,1.9,0.1,5.6
ひじき煮,90,4.7,4.7,9.4
千切りキャベツ,7,0.4,0.1,1.6
ミニトマト,3,0.1,0.0,0.7
ブロッコリー,3,0.4,0.1,0.5
人参のグラッセ,15,0.1,0.8,2.0
里芋の含め煮,104,2.2,0.1,22.8
さつま芋の天ぷら,127,1.1,8.5,10.9
さつまいものデリ風サラダ,146,2.1,5.8,21.7
さつまいもの白和え,109,3.9,3.4,16.1
ジャーマンポテト,95,1.7,4.7,12.2
さつまいものレモン煮,86,0.6,0.1,20.8
山芋のカレー煮,131,8.0,5.0,12.0
豆腐とわかめのみそ汁,32,2.5,1.3,3.0
もやしと油揚げのみそ汁,53,3.4,3.0,3.4
大根と油揚げのみそ汁,56,2.9,3.1,4.4
なめこ汁,32,2.6,1.2,4.0
具だくさん味噌汁,43,1.9,0.5,8.2
だご汁,228,9.2,5.3,35.6
豚汁,104,6.1,2.8,13.7
あさりのみそ汁,26,2.7,0.6,2.2
大根のすまし汁,18,1.1,0.1,3.9
豆腐とえのきのすまし汁,23,2.0,0.6,2.2
豆腐とわかめのすまし汁,22,1.9,0.6,1.9
かき玉汁,47,3.7,2.6,2.0
卵豆腐のすまし汁,30,2.6,1.5,1.7
若竹汁,14,1.6,0.1,2.4
とろろ梅のお吸い物,17,1.5,0.2,3.1
押し麦とわかめのすまし汁,50,1.3,2.1,7.2
コーンスープ,109,4.3,4.1,14.2
かぼちゃのポタージュ,69,2.1,1.3,12.5
かぶのポタージュ,107,3.3,7.0,7.8
オニオンスープ,114,2.8,6.0,12.3
春キャベツの具沢山ミルクスープ,92,3.1,1.5,16.6
じゃがいものコンソメスープ,35,0.9,0.1,7.6
もやしとわかめのコンソメスープ,26,2.1,1.3,1.5
にら玉スープ,27,3.2,1.1,1.4
牛乳,101,5.0,5.7,7.2
ヨーグルト,43,2.5,2.1,3.4
6Pチーズ,85,5.7,6.5,0.3
スライスチーズ,61,4.1,4.7,0.2
バナナ,101,1.3,0.2,26.3
みかん,40,0.6,0.1,10.6
りんご,129,0.5,0.2,34.7
キウイフルーツ,54,1.0,0.1,13.8
いちご,3,0.1,0.0,0.8
オレンジ,44,1.1,0.1,11.2
グレープフルーツ,120,2.8,0.3,30.2
柿,109,0.7,0.4,28.9
梨,92,0.6,0.2,24.1
巨峰,142,1.0,0.2,37.7
もも,68,1.0,0.2,17.3
メロン,26,0.7,0.1,6.4
スイカ,111,1.8,0.3,28.5
りんごのコンポート,61,0.2,0.1,16.2
たこ焼き,322,17.9,10.2,36.6
お好み焼き,462,19.8,22.8,41.2
広島風お好み焼き,622,24.2,24.1,72.3
あめ,12,0.0,0.0,2.9
キャラメル,22,0.2,0.6,3.9
ポテトチップ,332,2.8,21.1,32.8
ミルクチョコレート,279,3.5,17.1,27.9
ショートケーキ,292,6.3,11.9,40.0
チョコレートケーキ,393,7.6,19.1,47.7
アップルパイ,228,3.0,13.1,24.5
シュークリーム,172,5.9,9.5,15.6
コーヒーゼリー,45,1.7,0.0,9.5
オレンジゼリー,70,2.3,0.0,15.3
プリン,113,5.0,4.5,13.2
アイスクリーム,189,4.1,8.4,24.4
回転饅頭,200,4.0,1.0,43.7
どら焼き,227,5.0,2.1,47.1
串団子,158,2.5,0.3,36.2
蒸饅頭,117,2.2,0.2,26.6
さくら餅,100,1.7,0.1,23.1
練ようかん,148,1.8,0.1,35.0
水ようかん,137,2.1,0.1,32.0
煎茶,2,0.2,0.0,0.2
番茶,0,0.0,0.0,0.1
麦茶,2,0.0,0.0,0.5
コーヒー,6,0.3,0.0,1.1
カフェオレ,53,2.6,2.9,4.1
紅茶,2,0.2,0.0,0.2
ミルクティー,51,2.6,2.9,3.7
レモンティー,2,0.2,0.0,0.3
ビール350缶,142,1.1,0.0,11.0
ビール大瓶,256,1.9,0.0,19.8
発泡酒350缶,159,0.4,0.0,12.7
日本酒,196,0.7,0.0,8.8
焼酎,142,0.0,0.0,0.0
ウイスキー,69,0.0,0.0,0.0
赤ワイン,58,0.2,0.0,1.2
白ワイン,58,0.1,0.0,1.6
コーラ,230,0.5,0.0,57.0
サイダー,205,0.0,0.0,51.0
塩,0,0.0,0.0,0.0
塩,0,0.0,0.0,0.0
醤油,3,0.3,0.0,0.4
砂糖,12,0.0,0.0,3.0
グラニュー糖,12,0.0,0.0,3.0
中濃ソース,8,0.0,0.0,1.8
トマトケチャップ,14,0.2,0.0,3.3
マヨネーズ,84,0.2,9.0,0.5
和風ドレッシング,12,0.5,0.0,2.4
フレンチドレッシング,69,0.0,7.1,1.0
サウザンアイランドドレッシング,71,0.2,7.0,1.6
はちみつ,21,0.0,0.0,5.6
いちごジャム,54,0.1,0.0,13.3
マーマレード,54,0.0,0.0,13.3
ブルーベリージャム,38,0.1,0.1,9.2
ごま,18,0.6,1.6,0.6
バター,30,0.0,3.2,0.0
